id,publication_year,cited_by_count,author_ids
W1562462135,2001.0,643,A5102851268|A5020224649|A5007176508|A5002202464|A5081302896|A5024300858|A5052387000
W2750144484,2017.0,624,A5048877432|A5013727792|A5112523317|A5007176508|A5052308997
W2062104878,2000.0,617,A5105528213|A5068077704|A5007176508
W1578207609,2014.0,571,A5007176508
W2171634212,2009.0,507,A5111940488|A5007176508
W2098166026,2011.0,476,A5048232579|A5100721259|A5070667310|A5087912116|A5007176508
W2106308174,1995.0,456,A5042663603|A5007176508
W4244928213,2009.0,434,A5111940488|A5007176508
W2150327087,2008.0,426,A5103033624|A5063502960|A5051006703|A5062431621|A5113121922|A5007176508
W2135192052,2000.0,403,A5007176508
W2025478843,1999.0,363,A5022068732|A5002205400|A5108192370
W4249304898,2008.0,349,A5007176508
W2076863867,1982.0,321,A5014750352|A5007176508
W163418743,2013.0,304,A5078253058|A5041269206|A5024419925|A5007176508
W3121820606,2007.0,303,A5058593348|A5007176508
W2052644524,2014.0,302,A5030852680|A5054478253|A5077561974
W2387324665,2016.0,299,A5007830440|A5054378901|A5051733875|A5053035973|A5023392792
W3008333610,2020.0,274,A5025218700|A5051095866
W2143784448,2002.0,266,A5083027866|A5089286955|A5007176508
W1971259318,1992.0,253,A5101672405|A5007176508
W1578902217,2011.0,248,A5067087157|A5100721259|A5009232244|A5017095669|A5009434750|A5066060283|A5007176508
W2102188949,1999.0,241,A5013727792|A5046823814|A5007176508
W1736702067,2015.0,233,A5002809454|A5064053881|A5003121162
W2148108980,2004.0,228,A5046665314|A5007176508
W2741908740,2017.0,225,A5102861095|A5089850454|A5080030270
W3186027345,2021.0,223,A5088539840|A5014881285|A5101579932|A5007176508
W2099141993,2013.0,216,A5100721253|A5052965447|A5019813501|A5017095669|A5007176508
W2090252063,2008.0,214,A5051006703|A5042273441|A5112666355|A5007176508
W4235517609,1997.0,212,A5045801671|A5007176508
W2017450497,2014.0,187,A5050571401|A5003121162
W2344991558,2016.0,183,A5023810719|A5025218700|A5051095866|A5042631896
W2920911500,2019.0,180,A5053035973|A5007830440|A5035444752|A5073588759
W2326922198,2015.0,178,A5025218700|A5042631896|A5027110040|A5051095866
W2291914866,2016.0,176,A5003121162|A5109978106|A5088718916
W1493363822,2008.0,175,A5007176508
W2130815877,2012.0,173,A5082391569|A5048877432|A5048232579|A5110228068|A5027171279|A5007176508
W2891796741,2018.0,171,A5003121162|A5074129446
W2569686770,2017.0,162,A5023392792|A5007830440|A5053035973
W2605108175,2017.0,161,A5072690374|A5005932872|A5007176508
W4301422020,2015.0,151,A5011899466|A5054478253
W2114026225,2012.0,139,A5051006703|A5044137163|A5103033624|A5032058863|A5007176508
W2118407121,2008.0,134,A5075533617|A5016033078|A5108187466|A5007176508
W3134165704,2021.0,130,A5048877432|A5013727792|A5007176508
W2096302882,2012.0,128,A5000760201|A5086635152|A5009912542
W2001081968,2011.0,127,A5047724274|A5048877432|A5007176508
W2950859079,2018.0,124,A5018986925|A5075548536|A5062969234
W2902378118,2019.0,123,A5079154791|A5058939619|A5037708423
W2124334401,2008.0,121,A5051006703|A5042273441|A5112666355|A5007176508
W2967870496,2019.0,121,A5001715660|A5046771809|A5104111272|A5007176508
W2296594304,2009.0,118,A5103033624|A5028276052|A5007176508
W1951757437,2015.0,117,A5003031572|A5048877432|A5082391569|A5112523317|A5013727792|A5110228068|A5007176508
W4388938686,2023.0,116,A5011899466|A5054478253
W3162116403,2021.0,114,A5049365731|A5025218700|A5057733690|A5003282344|A5003101081|A5051095866
W2897244933,2018.0,98,A5102861095|A5078072896|A5045938450|A5080030270
W2556542808,2016.0,97,A5015746639|A5007830440|A5041212463|A5025573426
W3036638862,2020.0,97,A5053035973|A5023392792|A5007830440
W4391322710,2024.0,97,A5031514121|A5003587835|A5017914184
W2270299873,2016.0,96,A5007830440|A5023392792|A5109215915|A5053035973
W2298588541,2016.0,90,A5048877432|A5082391569|A5075956753|A5110228068|A5007176508
W2539690336,2011.0,87,A5113372108|A5087912116|A5048232579|A5100721259|A5007176508
W4377225348,2023.0,85,A5073765948|A5103118624|A5022017615|A5089691952|A5007176508
W4210830952,2022.0,84,A5003630074|A5003121162|A5035142284|A5048264180
W2817453410,2018.0,83,A5030852680|A5054478253|A5005537718
W2968073071,2019.0,83,A5019984358|A5058939619
W2890763058,2018.0,81,A5033484534|A5103084598|A5058826186|A5075852205|A5025218700|A5024451217|A5051095866
W3026070553,2020.0,81,A5007830440|A5054378901|A5053035973|A5021657086|A5080791781|A5027925190|A5076675833|A5088201078
W2949557692,2014.0,77,A5102775579|A5030987696|A5085205626|A5089831843|A5112395873
W2963285709,2011.0,77,A5100721259|A5048232579|A5007176508
W2130261265,2014.0,74,A5041695925|A5063502960|A5007176508|A5010828486|A5013670125
W2068689371,2014.0,73,A5075956753|A5011229206|A5048877432|A5007176508
W4221025338,2022.0,73,A5031514121|A5052195406|A5055444532
W3117534689,2020.0,71,A5007830440|A5088201078|A5046786525|A5067477814|A5080791781
W3041035410,2020.0,65,A5101579932|A5040369194|A5000868394|A5088539840|A5048877432|A5084485442|A5072930694|A5034827139|A5007176508
W3084214243,2021.0,61,A5025218700|A5000361569|A5022827102|A5017619946|A5051095866
